Unnamed: 0,French,Hindi,English
1,histoire,इतिहास,history
2,chercher,पाना,seek
3,seulement,केवल,only
5,pensais,विचार,thought
6,aide,सहायता,aid
7,demande,पूछा,asked
8,genre,लिंग,gender
9,mois,महीना,month
10,frère,भाई,brother
11,car,क्योंकि,because
12,mettre,रखना,put
14,laisse,अकेला छोड़ दो,leave alone
15,eux,उन्हें,them
16,ville,शहर,city
17,chaque,प्रत्येक,each
18,parlé,बोलना,speak
19,arrivé,पहुँचा,arrived
20,bébé,बच्चा,Babe
21,longtemps,एक लंबे समय,a long time
22,heures,घंटे,hours
23,vont,जा रहे हैं,are going
24,pendant,दौरान,during
25,revoir,फिर से देखिए,see again
26,aucune,कोई नहीं,none
30,savais,जानता था,knew
31,étaient,थे,were
32,attention,ध्यान,attention
33,voici,यहाँ है,here is
34,pourrais,सकना,could
35,affaire,मामला,affair
36,donner,देना,give
37,type,दयालु,kind
38,leurs,उनका,their
39,donné,दिया गया,given
40,corps,शरीर,body
41,endroit,जगह,place
42,yeux,आँखें,eyes
44,écoute,सुनना,listen
45,dont,जिसका कि,of which
46,trouve,पाना,find
47,premier,पहला,first
48,perdu,खोया,lost
49,main,हाथ,hand
50,première,पहला,first
51,côté,तट,coast
52,pouvoir,शक्ति,power
53,vieux,पुराना,old
54,sois,होना,be
55,tiens,लेना,take
56,matin,सुबह,Morning
59,point,बिंदु,point
60,venu,आया,came
61,suite,अगले,following
62,pardon,क्षमा,pardon
63,venez,आना,come
64,vers,की ओर,towards
65,minutes,मिनट,minutes
66,demandé,पूछा,asked
67,chambre,सोने का कमरा,bedroom
68,mis,रखना,put
69,belle,सुंदर,beautiful
70,droit,सही,right
71,aimerais,करना चाहेंगे,would like to
72,aujourd'hui,आज,Today
73,mari,पति,husband
74,cause,कारण,cause
76,espère,आशा,hope
77,eau,पानी,water
78,attendez,इंतज़ार,wait
79,parti,बाएं,left
80,nouvelle,नया,new
81,boulot,टमटम,gig
82,arrêter,रुकना,Stop
83,dirait,कहना होगा,would say
84,terre,धरती,earth
85,compte,खाता,account
86,donne,दिया गया,given
87,loin,दूर,far
88,croire,विश्वास करना,believe
89,chérie,प्रिय,Dear
90,gros,मोटा,fat
91,plutôt,बजाय,instead
92,aura,होगा,will have
93,filles,लड़कियाँ,girls
94,jouer,खेल,play
95,bureau,मेज़,desk
