French,Hindi,English
partie,भाग,part
histoire,इतिहास,history
chercher,पाना,seek
seulement,केवल,only
police,पुलिस,police
pensais,विचार,thought
aide,सहायता,aid
demande,पूछा,asked
genre,लिंग,gender
mois,महीना,month
frère,भाई,brother
laisser,होने देना,let
car,क्योंकि,because
mettre,रखना,put
aucun,कोई नहीं,none
laisse,अकेला छोड़ दो,leave alone
eux,उन्हें,them
ville,शहर,city
chaque,प्रत्येक,each
parlé,बोलना,speak
arrivé,पहुँचा,arrived
devrait,चाहिए,should
bébé,बच्चा,Babe
longtemps,एक लंबे समय,a long time
heures,घंटे,hours
vont,जा रहे हैं,are going
pendant,दौरान,during
revoir,फिर से देखिए,see again
aucune,कोई नहीं,none
place,जगह,place
parle,बोलना,speak
compris,समझा,Understood
savais,जानता था,knew
étaient,थे,were
attention,ध्यान,attention
voici,यहाँ है,here is
pourrais,सकना,could
affaire,मामला,affair
donner,देना,give
type,दयालु,kind
leurs,उनका,their
donné,दिया गया,given
train,रेलगाड़ी,train
corps,शरीर,body
endroit,जगह,place
yeux,आँखें,eyes
façon,रास्ता,way
écoute,सुनना,listen
dont,जिसका कि,of which
trouve,पाना,find
premier,पहला,first
perdu,खोया,lost
main,हाथ,hand
première,पहला,first
côté,तट,coast
pouvoir,शक्ति,power
vieux,पुराना,old
sois,होना,be
tiens,लेना,take
matin,सुबह,Morning
tellement,ऐसा,such
enfant,बच्चा,child
point,बिंदु,point
venu,आया,came
suite,अगले,following
pardon,क्षमा,pardon
venez,आना,come
devant,पहले,before
vers,की ओर,towards
minutes,मिनट,minutes
demandé,पूछा,asked
chambre,सोने का कमरा,bedroom
mis,रखना,put
belle,सुंदर,beautiful
droit,सही,right
aimerais,करना चाहेंगे,would like to
aujourd'hui,आज,Today
mari,पति,husband
cause,कारण,cause
enfin,आखिरकार,Finally
espère,आशा,hope
eau,पानी,water
attendez,इंतज़ार,wait
parti,बाएं,left
nouvelle,नया,new
boulot,टमटम,gig
arrêter,रुकना,Stop
dirait,कहना होगा,would say
terre,धरती,earth
compte,खाता,account
donne,दिया गया,given
loin,दूर,far
fin,अंत,END
croire,विश्वास करना,believe
chérie,प्रिय,Dear
gros,मोटा,fat
plutôt,बजाय,instead
aura,होगा,will have
filles,लड़कियाँ,girls
jouer,खेल,play
bureau,मेज़,desk
